,NB,DT,SVM,Network,SNB+FULL,SNB+BIC,SVM+Audio,LR_SVM,DT_Audio,LR_DT,Network_Audio,LR_network,NB_Audio,LR_NB,,,,,,,,,,,
63,0.746710526,0.858552632,0.805921053,0.730263158,0.871710526,0.881578947,0.740131579,0.888157895,0.825657895,0.825657895,0.684210526,0.884868421,0.746710526,0.881578947,,,,,,,,,,,
64,0.763157895,0.822368421,0.786184211,0.796052632,0.819078947,0.819078947,0.756578947,0.822368421,0.796052632,0.796052632,0.667763158,0.8125,0.726973684,0.819078947,,,,,,,,,,,
65,0.789473684,0.766447368,0.773026316,0.924342105,0.871710526,0.871710526,0.799342105,0.878289474,0.855263158,0.855263158,0.407894737,0.871710526,0.736842105,0.878289474,,,,,,,,,,,
66,0.746710526,0.822368421,0.763157895,0.842105263,0.835526316,0.848684211,0.802631579,0.875,0.858552632,0.858552632,0.338815789,0.848684211,0.789473684,0.868421053,,,,,,,,,,,
67,0.776315789,0.773026316,0.753289474,0.842105263,0.865131579,0.861842105,0.805921053,0.868421053,0.832236842,0.832236842,0.427631579,0.861842105,0.786184211,0.865131579,,,,,,,,,,,
68,0.759868421,0.766447368,0.578947368,0.871710526,0.884868421,0.901315789,0.773026316,0.888157895,0.825657895,0.835526316,0.621710526,0.884868421,0.769736842,0.904605263,,,,,,,,,,,
69,0.782894737,0.799342105,0.773026316,0.944078947,0.861842105,0.865131579,0.809210526,0.875,0.815789474,0.815789474,0.671052632,0.875,0.759868421,0.865131579,,,,,,,,,,,
70,0.753289474,0.789473684,0.786184211,0.904605263,0.855263158,0.861842105,0.799342105,0.875,0.8125,0.8125,0.358552632,0.861842105,0.769736842,0.861842105,,,,,,,,,,,
71,0.756578947,0.802631579,0.782894737,0.743421053,0.822368421,0.822368421,0.825657895,0.832236842,0.855263158,0.855263158,0.736842105,0.822368421,0.713815789,0.822368421,,,,,,,,,,,
72,0.763157895,0.845394737,0.799342105,0.934210526,0.891447368,0.884868421,0.773026316,0.898026316,0.845394737,0.845394737,0.720394737,0.881578947,0.746710526,0.884868421,,,,,,,,,,,
73,0.782894737,0.756578947,0.805921053,0.904605263,0.881578947,0.884868421,0.832236842,0.907894737,0.819078947,0.819078947,0.746710526,0.888157895,0.743421053,0.884868421,,,,,,,,,,,
74,0.726973684,0.8125,0.796052632,0.828947368,0.865131579,0.871710526,0.756578947,0.871710526,0.835526316,0.835526316,0.677631579,0.819078947,0.75,0.871710526,,,,,,,,,,,
75,0.796052632,0.753289474,0.773026316,0.671052632,0.921052632,0.924342105,0.805921053,0.921052632,0.848684211,0.848684211,0.332236842,0.924342105,0.707236842,0.924342105,,,,,,,,,,,
76,0.779605263,0.8125,0.756578947,0.924342105,0.858552632,0.861842105,0.819078947,0.888157895,0.838815789,0.838815789,0.710526316,0.861842105,0.786184211,0.865131579,,,,,,,,,,,
77,0.723684211,0.796052632,0.792763158,0.805921053,0.861842105,0.865131579,0.796052632,0.878289474,0.809210526,0.809210526,0.733552632,0.861842105,0.769736842,0.865131579,,,,,,,,,,,
78,0.773026316,0.819078947,0.796052632,0.842105263,0.851973684,0.861842105,0.782894737,0.871710526,0.815789474,0.815789474,0.4375,0.861842105,0.766447368,0.861842105,,,,,,,,,,,
79,0.743421053,0.802631579,0.779605263,0.851973684,0.868421053,0.871710526,0.792763158,0.865131579,0.835526316,0.835526316,0.75,0.868421053,0.756578947,0.871710526,,,,,,,,,,,
80,0.759868421,0.756578947,0.763157895,0.779605263,0.888157895,0.888157895,0.802631579,0.888157895,0.835526316,0.835526316,0.710526316,0.881578947,0.743421053,0.888157895,,,,,,,,,,,
81,0.740131579,0.799342105,0.799342105,0.894736842,0.842105263,0.842105263,0.769736842,0.858552632,0.835526316,0.835526316,0.648026316,0.845394737,0.75,0.848684211,,,,,,,,,,,
82,0.776315789,0.819078947,0.802631579,0.907894737,0.881578947,0.884868421,0.828947368,0.904605263,0.858552632,0.858552632,0.684210526,0.891447368,0.75,0.894736842,,,,,,,,,,,
83,0.743421053,0.773026316,0.756578947,0.927631579,0.861842105,0.891447368,0.8125,0.894736842,0.842105263,0.842105263,0.490131579,0.898026316,0.782894737,0.891447368,,,,,,,,,,,
84,0.743421053,0.753289474,0.756578947,0.851973684,0.848684211,0.851973684,0.792763158,0.848684211,0.779605263,0.779605263,0.651315789,0.845394737,0.746710526,0.855263158,,,,,,,,,,,
85,0.730263158,0.756578947,0.779605263,0.667763158,0.875,0.881578947,0.766447368,0.901315789,0.805921053,0.805921053,0.657894737,0.871710526,0.730263158,0.884868421,,,,,,,,,,,
86,0.733552632,0.805921053,0.773026316,0.904605263,0.8125,0.828947368,0.796052632,0.835526316,0.822368421,0.822368421,0.713815789,0.835526316,0.792763158,0.828947368,,,,,,,,,,,
87,0.733552632,0.763157895,0.779605263,0.848684211,0.861842105,0.871710526,0.792763158,0.881578947,0.861842105,0.861842105,0.532894737,0.855263158,0.733552632,0.871710526,,,,,,,,,,,
88,0.743421053,0.743421053,0.786184211,0.907894737,0.855263158,0.865131579,0.769736842,0.881578947,0.865131579,0.871710526,0.736842105,0.848684211,0.753289474,0.865131579,,,,,,,,,,,
89,0.789473684,0.753289474,0.769736842,0.894736842,0.881578947,0.891447368,0.8125,0.901315789,0.838815789,0.838815789,0.516447368,0.888157895,0.766447368,0.891447368,,,,,,,,,,,
90,0.779605263,0.756578947,0.756578947,0.763157895,0.878289474,0.878289474,0.75,0.888157895,0.809210526,0.809210526,0.700657895,0.878289474,0.759868421,0.878289474,,,,,,,,,,,
91,0.759868421,0.802631579,0.782894737,0.851973684,0.855263158,0.865131579,0.799342105,0.878289474,0.845394737,0.845394737,0.664473684,0.865131579,0.753289474,0.871710526,,,,,,,,,,,
92,0.736842105,0.8125,0.805921053,0.835526316,0.868421053,0.888157895,0.802631579,0.891447368,0.789473684,0.789473684,0.680921053,0.891447368,0.792763158,0.888157895,,,,,,,,,,,
93,0.759868421,0.802631579,0.773026316,0.822368421,0.828947368,0.838815789,0.822368421,0.855263158,0.848684211,0.848684211,0.552631579,0.838815789,0.743421053,0.838815789,,,,,,,,,,,
94,0.743421053,0.796052632,0.763157895,0.881578947,0.776315789,0.786184211,0.789473684,0.796052632,0.845394737,0.845394737,0.690789474,0.819078947,0.769736842,0.786184211,,,,,,,,,,,
